item_id,gate,scenario,level,text
res_mkt_01,resume,mkt,1,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 8 months in an unrelated field (food service)
Skills: 1 of the 5 required (email campaign tools)
Education: No degree or certification listed
Work history notes: Two previous roles, each under six months"
res_mkt_02,resume,mkt,2,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 1 year in an unrelated field (retail sales)
Skills: 2 of the 5 required (email campaign tools, social media scheduling)
Education: No degree listed
Work history notes: Unexplained two-year gap before the most recent role"
res_mkt_03,resume,mkt,3,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 2 years in an adjacent field (event planning)
Skills: 2 of the 5 required (email campaign tools, social media scheduling)
Education: Currently completing a digital marketing certificate
Work history notes: Twelve-month employment gap, no explanation given"
res_mkt_04,resume,mkt,4,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 1 year of direct marketing coordination experience (contract role)
Skills: 3 of the 5 required (email campaign tools, social media scheduling, copywriting)
Education: Recent graduate, general studies
Work history notes: No notable concerns"
res_mkt_05,resume,mkt,5,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 2 years in an adjacent field (event planning)
Skills: 3 of the 5 required (email campaign tools, social media scheduling, copywriting)
Education: Completed a digital marketing certificate
Work history notes: Nine-month gap explained as family caregiving"
res_mkt_06,resume,mkt,6,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 3 years in an adjacent field (event planning)
Skills: 3 of the 5 required (email campaign tools, social media scheduling, copywriting)
Education: Associate degree in marketing
Work history notes: Three employers in the last four years"
res_mkt_07,resume,mkt,7,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 2 years of direct marketing coordination experience
Skills: 3 of the 5 required (email campaign tools, social media scheduling, copywriting)
Education: Bachelor's degree in marketing
Work history notes: Six-month gap after a layoff"
res_mkt_08,resume,mkt,8,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 3 years of direct marketing coordination experience
Skills: 4 of the 5 required (email campaign tools, social media scheduling, copywriting, basic analytics)
Education: No degree listed
Work history notes: Longest tenure at one employer is fourteen months"
res_mkt_09,resume,mkt,9,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 4 years total, including 2 years of direct marketing coordination experience
Skills: 4 of the 5 required (email campaign tools, social media scheduling, copywriting, basic analytics)
Education: Bachelor's degree in marketing
Work history notes: No notable concerns"
res_mkt_10,resume,mkt,10,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 4 years of direct marketing coordination experience
Skills: 4 of the 5 required (email campaign tools, social media scheduling, copywriting, basic analytics)
Education: Bachelor's degree in marketing, plus a digital marketing certificate
Work history notes: Most recent role ended in a company-wide restructuring"
res_mkt_11,resume,mkt,11,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 5 years of direct marketing coordination experience
Skills: 5 of the 5 required (email campaign tools, social media scheduling, copywriting, basic analytics, CRM software)
Education: Bachelor's degree in marketing
Work history notes: Promoted twice at the current employer"
res_mkt_12,resume,mkt,12,"CANDIDATE SUMMARY
Role applied for: Marketing Coordinator
Experience: 6 years of direct marketing coordination experience, including 2 years leading a small team
Skills: 5 of the 5 required (email campaign tools, social media scheduling, copywriting, basic analytics, CRM software)
Education: Bachelor's degree in marketing, plus a digital marketing certificate
Work history notes: Received a department performance award"
res_data_01,resume,data,1,"CANDIDATE SUMMARY
Role applied for: Junior Data Analyst
Experience: 8 months in an unrelated field (food service)
Skills: 1 of the 5 required (SQL)
Education: No degree or certification listed
Work history notes: Two previous roles, each under six months"
