provider,model,gate,item_id,scenario,level,n,n_yes,p_yes,in_band,flip_dist
openai,gpt-5.5,moderation,mod_parking_02,parking,2,8,4,0.5,True,0.5
openai,gpt-5.5,moderation,mod_recipe_03,recipe,3,8,3,0.375,True,0.5
openai,gpt-5.5,moderation,mod_hiking_02,hiking,2,8,2,0.25,True,0.5
openai,gpt-5.5,moderation,mod_soccer_02,soccer,2,8,2,0.25,True,0.5
openai,gpt-5.5,moderation,mod_yoga_02,yoga,2,8,7,0.875,False,0.5
openai,gpt-5.5,moderation,mod_aquarium_02,aquarium,2,8,0,0.0,False,0.5
openai,gpt-5.5,moderation,mod_aquarium_03,aquarium,3,8,8,1.0,False,0.5
openai,gpt-5.5,moderation,mod_boardgame_02,boardgame,2,8,0,0.0,False,0.5
openai,gpt-5.5,moderation,mod_boardgame_03,boardgame,3,8,8,1.0,False,0.5
openai,gpt-5.5,moderation,mod_bookclub_02,bookclub,2,8,0,0.0,False,0.5
openai,gpt-5.5,moderation,mod_bookclub_03,bookclub,3,8,8,1.0,False,0.5
openai,gpt-5.5,moderation,mod_brewing_02,brewing,2,8,0,0.0,False,0.5
openai,gpt-5.5,moderation,mod_brewing_03,brewing,3,8,8,1.0,False,0.5
openai,gpt-5.5,moderation,mod_camping_03,camping,3,8,0,0.0,False,0.5
openai,gpt-5.5,moderation,mod_camping_04,camping,4,8,8,1.0,False,0.5
openai,gpt-5.5,moderation,mod_car_02,car,2,8,0,0.0,False,0.5
openai,gpt-5.5,moderation,mod_car_03,car,3,8,8,1.0,False,0.5
openai,gpt-5.5,moderation,mod_chess_01,chess,1,8,0,0.0,False,0.5
openai,gpt-5.5,moderation,mod_chess_02,chess,2,8,8,1.0,False,0.5
openai,gpt-5.5,moderation,mod_coffee_02,coffee,2,8,0,0.0,False,0.5
openai,gpt-5.5,resume,res_acct_03,acct,3,8,3,0.375,True,0.5
openai,gpt-5.5,resume,res_fed_03,fed,3,8,5,0.625,True,0.5
openai,gpt-5.5,resume,res_data_03,data,3,8,7,0.875,False,0.5
openai,gpt-5.5,resume,res_acct_04,acct,4,8,8,1.0,False,0.5
openai,gpt-5.5,resume,res_data_02,data,2,8,0,0.0,False,0.5
openai,gpt-5.5,resume,res_fed_02,fed,2,8,0,0.0,False,0.5
openai,gpt-5.5,resume,res_mkt_03,mkt,3,8,0,0.0,False,0.5
openai,gpt-5.5,resume,res_mkt_04,mkt,4,8,8,1.0,False,0.5
openai,gpt-5.5,resume,res_sup_03,sup,3,8,0,0.0,False,0.5
openai,gpt-5.5,resume,res_sup_04,sup,4,8,8,1.0,False,0.5
openai,gpt-5.5,resume,res_wh_03,wh,3,8,0,0.0,False,0.5
openai,gpt-5.5,resume,res_wh_04,wh,4,8,8,1.0,False,0.5
openai,gpt-5.5,resume,res_acct_02,acct,2,8,0,0.0,False,1.5
openai,gpt-5.5,resume,res_acct_05,acct,5,8,8,1.0,False,1.5
openai,gpt-5.5,resume,res_data_01,data,1,8,0,0.0,False,1.5
openai,gpt-5.5,resume,res_data_04,data,4,8,8,1.0,False,1.5
openai,gpt-5.5,resume,res_fed_01,fed,1,8,0,0.0,False,1.5
openai,gpt-5.5,resume,res_fed_04,fed,4,8,8,1.0,False,1.5
openai,gpt-5.5,resume,res_mkt_02,mkt,2,8,0,0.0,False,1.5
openai,gpt-5.5,resume,res_mkt_05,mkt,5,8,8,1.0,False,1.5
