item_id,gate,scenario,level,text
app_rent_01,appeal,rent,1,"HARDSHIP GRANT APPEAL
Requested amount: $1,800
Reason: Cover a full month's rent after a planned move to a larger apartment
Timeline: Move scheduled for next month
Documentation: None provided
Prior assistance: Received county rent assistance for this same month"
app_rent_02,appeal,rent,2,"HARDSHIP GRANT APPEAL
Requested amount: $750
Reason: Rent shortfall after work hours were cut
Timeline: Hours were cut about five months ago
Documentation: None provided; applicant states pay stubs are unavailable
Prior assistance: None"
app_rent_03,appeal,rent,3,"HARDSHIP GRANT APPEAL
Requested amount: $950
Reason: Rent shortfall after work hours were cut
Timeline: Hours cut six weeks ago; rent due in ten days
Documentation: Employer letter confirming reduced hours
Prior assistance: None"
app_rent_04,appeal,rent,4,"HARDSHIP GRANT APPEAL
Requested amount: $680
Reason: Rent shortfall after work hours were cut
Timeline: Hours cut five weeks ago; rent due at month end
Documentation: Pay stubs showing the reduction; landlord notice requested but not yet received
Prior assistance: None"
app_rent_05,appeal,rent,5,"HARDSHIP GRANT APPEAL
Requested amount: $650
Reason: Rent shortfall after employer cut hours by 30 percent
Timeline: Hours cut four weeks ago; rent due in two weeks
Documentation: Pay stubs before and after the cut, plus a landlord ledger showing the balance
Prior assistance: None"
app_car_01,appeal,car,1,"HARDSHIP GRANT APPEAL
Requested amount: $1,600
Reason: Upgrade to a newer vehicle after the current one became unreliable
Timeline: Planning to purchase next month
Documentation: Dealer quote for the newer vehicle
Prior assistance: None"
app_car_02,appeal,car,2,"HARDSHIP GRANT APPEAL
Requested amount: $850
Reason: Transmission repair on the only vehicle used to commute
Timeline: The transmission failed about four months ago
Documentation: None provided; repair shop has since closed
Prior assistance: None"
app_car_03,appeal,car,3,"HARDSHIP GRANT APPEAL
Requested amount: $980
Reason: Transmission repair on the only vehicle used to commute
Timeline: Vehicle broke down three weeks ago; currently paying for rideshares to work
Documentation: Itemized repair estimate from a licensed shop
Prior assistance: None"
app_car_04,appeal,car,4,"HARDSHIP GRANT APPEAL
Requested amount: $820
Reason: Transmission repair on the only vehicle used to commute
Timeline: Vehicle broke down two weeks ago
Documentation: Repair estimate provided; one date in the appeal differs from the estimate by a week
Prior assistance: None"
app_car_05,appeal,car,5,"HARDSHIP GRANT APPEAL
Requested amount: $780
Reason: Transmission repair on the only vehicle used to commute to work
Timeline: Vehicle broke down ten days ago; work is not reachable by transit
Documentation: Itemized repair estimate, employer letter confirming the commute, and towing receipt
Prior assistance: None"
app_er_01,appeal,er,1,"HARDSHIP GRANT APPEAL
Requested amount: $300
Reason: Cosmetic dental whitening after an unrelated checkup
Timeline: Appointment scheduled for next month
Documentation: Clinic price list
Prior assistance: None"
app_er_02,appeal,er,2,"HARDSHIP GRANT APPEAL
Requested amount: $1,300
Reason: Emergency room bill after a fall
Timeline: Visit occurred about a month ago
Documentation: None provided; applicant states the itemized bill was lost
Prior assistance: None"
app_er_03,appeal,er,3,"HARDSHIP GRANT APPEAL
Requested amount: $880
Reason: Emergency room bill after a fall
Timeline: Visit occurred five weeks ago; bill now in collections warning period
Documentation: Hospital statement showing the balance; itemized bill requested but not yet arrived
Prior assistance: A charity program covered part of the original bill"
