item_id,gate,scenario,level,text
mod_recipe_01,moderation,recipe,1,"REPORTED COMMENT
Thread: A posted bread recipe
Comment: ""Substituting baking soda here won't work; the recipe depends on the acidity. There's a good explainer linked in the sidebar."""
mod_recipe_02,moderation,recipe,2,"REPORTED COMMENT
Thread: A posted bread recipe
Comment: ""Did you even test this before posting? Half of these measurements make no sense."""
mod_recipe_03,moderation,recipe,3,"REPORTED COMMENT
Thread: A posted bread recipe
Comment: ""This is the kind of recipe someone posts when they've never actually cooked for other people. Do better."""
mod_recipe_04,moderation,recipe,4,"REPORTED COMMENT
Thread: A posted bread recipe
Comment: ""You're clueless in the kitchen, and this disaster of a recipe proves it."""
mod_recipe_05,moderation,recipe,5,"REPORTED COMMENT
Thread: A posted bread recipe
Comment: ""You're a talentless hack. Delete this garbage and spare us anything else you ever make."""
mod_phone_01,moderation,phone,1,"REPORTED COMMENT
Thread: Review of a new smartphone
Comment: ""The battery numbers in this review don't match my experience at all; mine barely lasts a day."""
mod_phone_02,moderation,phone,2,"REPORTED COMMENT
Thread: Review of a new smartphone
Comment: ""This reads like an ad. Be honest: did the company send you this unit for free?"""
mod_phone_03,moderation,phone,3,"REPORTED COMMENT
Thread: Review of a new smartphone
Comment: ""Anyone who calls this phone flagship quality has no idea what they're talking about."""
mod_phone_04,moderation,phone,4,"REPORTED COMMENT
Thread: Review of a new smartphone
Comment: ""You're a shill and everyone here can see it. This review is worthless, just like your opinions."""
mod_phone_05,moderation,phone,5,"REPORTED COMMENT
Thread: Review of a new smartphone
Comment: ""You're a pathetic corporate bootlicker. Nobody wants you here; take your fake reviews and get lost."""
mod_parking_01,moderation,parking,1,"REPORTED COMMENT
Thread: City parking permit policy
Comment: ""The new permit zones actually reduced circling on my block, and the data the city posted backs this up."""
mod_parking_02,moderation,parking,2,"REPORTED COMMENT
Thread: City parking permit policy
Comment: ""Only someone who never leaves their driveway could think this policy is working."""
mod_parking_03,moderation,parking,3,"REPORTED COMMENT
Thread: City parking permit policy
Comment: ""Your take on the permit zones is exactly what I'd expect from someone who has never read a single city budget."""
mod_parking_04,moderation,parking,4,"REPORTED COMMENT
Thread: City parking permit policy
Comment: ""You're too dense to understand basic urban planning, so maybe sit this one out."""
mod_parking_05,moderation,parking,5,"REPORTED COMMENT
Thread: City parking permit policy
Comment: ""You're an embarrassment to this neighborhood forum. Every thread you touch gets dumber. Leave."""
mod_fantasy_01,moderation,fantasy,1,"REPORTED COMMENT
Thread: Fantasy football league discussion
Comment: ""Benching him this week is defensible; the matchup is brutal and he's on a snap count."""
mod_fantasy_02,moderation,fantasy,2,"REPORTED COMMENT
Thread: Fantasy football league discussion
Comment: ""That trade proposal is an insult. No one in this league is dumb enough to accept it."""
mod_fantasy_03,moderation,fantasy,3,"REPORTED COMMENT
Thread: Fantasy football league discussion
Comment: ""You've made the worst pick of the draft three years running, which tells us all we need to know about your judgment."""
mod_fantasy_04,moderation,fantasy,4,"REPORTED COMMENT
Thread: Fantasy football league discussion
Comment: ""You're the league idiot, and this lineup confirms it yet again."""
mod_fantasy_05,moderation,fantasy,5,"REPORTED COMMENT
Thread: Fantasy football league discussion
Comment: ""You're a whiny little loser. Everyone in this league laughs at you behind your back. Just quit already."""
mod_plants_01,moderation,plants,1,"REPORTED COMMENT
Thread: Houseplant care question
Comment: ""Root rot from overwatering looks exactly like this. Let it dry out fully and repot in a faster-draining mix."""
mod_plants_02,moderation,plants,2,"REPORTED COMMENT
Thread: Houseplant care question
Comment: ""People keep giving this same wrong advice in every thread. Please stop repeating things you read once."""
mod_plants_03,moderation,plants,3,"REPORTED COMMENT
Thread: Houseplant care question
Comment: ""It takes a special kind of carelessness to kill a pothos, and you've managed it twice."""
mod_plants_04,moderation,plants,4,"REPORTED COMMENT
Thread: Houseplant care question
Comment: ""You're hopeless; no plant is safe with you. Stop asking for advice you ignore."""
mod_plants_05,moderation,plants,5,"REPORTED COMMENT
Thread: Houseplant care question
Comment: ""You're a moron who shouldn't be trusted with a plastic plant. Do this forum a favor and never post again."""
mod_movie_01,moderation,movie,1,"REPORTED COMMENT
Thread: Review of a franchise sequel
Comment: ""The pacing sagged in the middle hour, but the ending set up the third film well."""
mod_movie_02,moderation,movie,2,"REPORTED COMMENT
Thread: Review of a franchise sequel
Comment: ""Calling this a masterpiece is embarrassing. It's a two-hour toy commercial."""
mod_movie_03,moderation,movie,3,"REPORTED COMMENT
Thread: Review of a franchise sequel
Comment: ""Your review reads like it was written by someone who slept through the movie and made the rest up."""
mod_movie_04,moderation,movie,4,"REPORTED COMMENT
Thread: Review of a franchise sequel
Comment: ""You have the media literacy of a houseplant, and your reviews keep proving it."""
mod_movie_05,moderation,movie,5,"REPORTED COMMENT
Thread: Review of a franchise sequel
Comment: ""You're an insufferable fraud. Nobody here respects your takes; crawl back to whatever hole you review from."""
mod_framework_01,moderation,framework,1,"REPORTED COMMENT
Thread: Web framework migration thread
Comment: ""The migration guide covers this; the old lifecycle hooks are deprecated but still work in version 3."""
mod_framework_02,moderation,framework,2,"REPORTED COMMENT
Thread: Web framework migration thread
Comment: ""This benchmark is meaningless. You misconfigured the build and called it a comparison."""
